,name,company,year,Price,kms_driven,fuel_type,price
0,HyundaiSantroXing,Hyundai,2007,"80,000",45000,Petrol,80000
1,MahindraJeepCL550,Mahindra,2006,"4,25,000",40,Diesel,425000
2,HyundaiGrandi10,Hyundai,2014,"3,25,000",28000,Petrol,325000
3,FordEcoSportTitanium,Ford,2014,"5,75,000",36000,Diesel,575000
4,FordFigo,Ford,2012,"1,75,000",41000,Diesel,175000
5,HyundaiEon,Hyundai,2013,"1,90,000",25000,Petrol,190000
6,FordEcoSportAmbiente,Ford,2016,"8,30,000",24530,Diesel,830000
7,MarutiSuzukiAlto,Maruti,2015,"2,50,000",60000,Petrol,250000
8,SkodaFabiaClassic,Skoda,2010,"1,82,000",60000,Petrol,182000
9,MarutiSuzukiStingray,Maruti,2015,"3,15,000",30000,Petrol,315000
10,HyundaiElitei20,Hyundai,2014,"4,15,000",32000,Petrol,415000
11,MahindraScorpioSLE,Mahindra,2015,"3,20,000",48660,Diesel,320000
12,HyundaiSantroXing,Hyundai,2007,"80,000",45000,Petrol,80000
13,MahindraJeepCL550,Mahindra,2006,"4,25,000",40,Diesel,425000
14,AudiA8,Audi,2017,"10,00,000",4000,Petrol,1000000
15,AudiQ7,Audi,2014,"5,00,000",16934,Diesel,500000
16,MahindraScorpioS10,Mahindra,2016,"3,50,000",43000,Diesel,350000
17,MarutiSuzukiAlto,Maruti,2014,"1,60,000",35550,Petrol,160000
18,MahindraScorpioS10,Mahindra,2016,"3,50,000",43000,Diesel,350000
19,MahindraScorpioS10,Mahindra,2016,"3,10,000",39522,Diesel,310000
20,MarutiSuzukiAlto,Maruti,2015,"75,000",39000,Petrol,75000
21,Hyundaii20Sportz,Hyundai,2012,"1,00,000",55000,Petrol,100000
22,Hyundaii20Sportz,Hyundai,2012,"1,00,000",55000,Petrol,100000
23,Hyundaii20Sportz,Hyundai,2012,"1,00,000",55000,Petrol,100000
24,MarutiSuzukiAlto,Maruti,2017,"1,90,000",72000,Petrol,190000
25,MarutiSuzukiVitara,Maruti,2016,"2,90,000",15975,Diesel,290000
26,MarutiSuzukiAlto,Maruti,2008,"95,000",70000,Petrol,95000
27,MahindraBoleroDI,Mahindra,2017,"1,80,000",23452,Diesel,180000
28,MarutiSuzukiSwift,Maruti,2014,"3,85,000",35522,Diesel,385000
29,MahindraScorpioS10,Mahindra,2015,"2,50,000",48508,Diesel,250000
30,MarutiSuzukiSwift,Maruti,2017,"1,80,000",15487,Petrol,180000
31,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
32,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
33,ToyotaInnova2.0,Toyota,2012,"6,50,000",82000,Diesel,650000
34,RenaultLodgy85,Renault,2018,"6,89,999",20000,Diesel,689999
35,SkodaYetiAmbition,Skoda,2012,"4,48,000",68000,Diesel,448000
36,MarutiSuzukiBaleno,Maruti,2017,"5,49,000",32000,Diesel,549000
37,RenaultDuster110,Renault,2012,"5,01,000",38000,Diesel,501000
38,RenaultDuster85,Renault,2013,"4,89,999",27000,Diesel,489999
39,HondaCity1.5,Honda,2011,"2,80,000",33000,Petrol,280000
40,MarutiSuzukiAlto,Maruti,2015,"2,50,000",60000,Petrol,250000
41,MarutiSuzukiDzire,Maruti,2013,"3,49,999",46000,Diesel,349999
42,HondaAmaze,Honda,2013,"2,84,999",46000,Diesel,284999
43,HondaAmaze1.5,Honda,2015,"3,45,000",36000,Diesel,345000
44,HondaCity,Honda,2015,"4,99,999",55000,Petrol,499999
45,DatsunRediGO,Datsun,2017,"2,35,000",16000,Petrol,235000
46,MarutiSuzukiSX4,Maruti,2010,"2,49,999",36000,Petrol,249999
47,MitsubishiPajeroSport,Mitsubishi,2015,"14,75,000",47000,Diesel,1475000
48,MahindraBoleroDI,Mahindra,2017,"1,80,000",23452,Diesel,180000
49,MarutiSuzukiSwift,Maruti,2014,"3,85,000",35522,Diesel,385000
50,MahindraScorpioS10,Mahindra,2015,"2,50,000",48508,Diesel,250000
51,MarutiSuzukiSwift,Maruti,2017,"1,80,000",15487,Petrol,180000
52,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
53,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
54,MahindraScorpioS10,Mahindra,2015,"3,95,000",35000,Diesel,395000
55,MarutiSuzukiSwift,Maruti,2017,"2,20,000",30874,Petrol,220000
56,HondaCityZX,Honda,2017,"1,70,000",15000,Diesel,170000
57,MarutiSuzukiWagon,Maruti,2013,"85,000",29685,Petrol,85000
58,FordFigo,Ford,2012,"1,75,000",41000,Diesel,175000
59,HyundaiEon,Hyundai,2013,"1,90,000",25000,Petrol,190000
60,TataIndigoeCS,Tata,2017,"2,00,000",130000,Diesel,200000
61,FordEcoSportAmbiente,Ford,2016,"8,30,000",24530,Diesel,830000
62,TataIndigoeCS,Tata,2017,"2,00,000",130000,Diesel,200000
63,MahindraScorpioSLE,Mahindra,2012,"5,70,000",19000,Diesel,570000
64,VolkswagenPoloHighline,Volkswagen,2014,"3,15,000",60000,Petrol,315000
65,SkodaFabiaClassic,Skoda,2010,"1,82,000",60000,Petrol,182000
66,MarutiSuzukiStingray,Maruti,2015,"3,15,000",30000,Petrol,315000
67,ChevroletSparkLS,Chevrolet,2010,"1,10,000",41000,Petrol,110000
68,RenaultDuster110PS,Renault,2012,"5,01,000",35000,Diesel,501000
69,HondaCity,Honda,2015,"4,48,999",54000,Petrol,448999
70,MiniCooperS,Mini,2013,"18,91,111",13000,Petrol,1891111
71,DatsunRediGO,Datsun,2017,"2,35,000",16000,Petrol,235000
72,SkodaFabia1.2L,Skoda,2011,"1,59,500",38200,Diesel,159500
73,HondaAmaze,Honda,2015,"3,44,999",22000,Petrol,344999
74,HondaAmaze,Honda,2015,"3,44,999",22000,Petrol,344999
75,RenaultDuster,Renault,2014,"4,49,999",50000,Diesel,449999
76,MiniCooperS,Mini,2013,"18,91,111",13500,Petrol,1891111
77,MahindraScorpioS4,Mahindra,2015,"8,65,000",30000,Diesel,865000
78,MahindraScorpioVLX,Mahindra,2014,"6,99,000",50000,Diesel,699000
79,MahindraQuantoC8,Mahindra,2013,"3,75,000",20000,Diesel,375000
80,FordEcoSport,Ford,2017,"4,89,999",39000,Petrol,489999
81,HondaBrio,Honda,2012,"2,24,999",30000,Petrol,224999
82,VolkswagenVentoHighline,Volkswagen,2019,"12,00,000",3600,Diesel,1200000
83,Hyundaii20Magna,Hyundai,2009,"1,95,000",32000,Petrol,195000
84,ToyotaCorollaAltis,Toyota,2010,"3,51,000",38000,Diesel,351000
85,HyundaiVernaTransform,Hyundai,2008,"1,60,000",45000,Petrol,160000
86,ToyotaCorollaAltis,Toyota,2009,"2,40,000",35000,Petrol,240000
87,HondaCity1.5,Honda,2005,"90,000",50000,Petrol,90000
88,HyundaiElitei20,Hyundai,2014,"4,15,000",32000,Petrol,415000
89,SkodaFabia1.2L,Skoda,2011,"1,55,000",45863,Diesel,155000
90,BMW3Series,BMW,2011,"6,00,000",60500,Petrol,600000
91,MarutiSuzukiA,Maruti,2011,"1,89,500",12500,Petrol,189500
92,ToyotaEtiosGD,Toyota,2013,"3,50,000",60000,Diesel,350000
93,FordFigoDiesel,Ford,2012,"2,10,000",35000,Diesel,210000
94,MarutiSuzukiSwift,Maruti,2014,"3,90,000",35000,Petrol,390000
95,ChevroletBeatLT,Chevrolet,2012,"1,35,000",45000,Diesel,135000
96,BMW7Series,BMW,2009,"16,00,000",35000,Petrol,1600000
97,MahindraXUV500W8,Mahindra,2013,"7,01,000",38000,Diesel,701000
98,Hyundaii10Magna,Hyundai,2014,"2,65,000",18000,Petrol,265000
99,HyundaiVernaFluidic,Hyundai,2015,"5,25,000",35000,Diesel,525000
100,MarutiSuzukiSwift,Maruti,2013,"3,72,000",13349,Petrol,372000
101,MarutiSuzukiErtiga,Maruti,2016,"6,35,000",29000,Petrol,635000
102,FordEcoSportTitanium,Ford,2014,"5,50,000",44000,Diesel,550000
103,MarutiSuzukiErtiga,Maruti,2016,"5,75,000",29000,Petrol,575000
104,MarutiSuzukiErtiga,Maruti,2013,"4,85,000",42000,Diesel,485000
105,MarutiSuzukiAlto,Maruti,2012,"1,55,000",14000,Petrol,155000
106,HyundaiGrandi10,Hyundai,2014,"3,45,000",49000,Diesel,345000
107,HondaAmaze1.2,Honda,2014,"3,25,000",42000,Petrol,325000
108,Hyundaii20Asta,Hyundai,2012,"3,29,500",36200,Diesel,329500
109,FordFigoDiesel,Ford,2014,"1,95,000",50000,Diesel,195000
110,MarutiSuzukiEeco,Maruti,2015,"2,51,111",55000,Petrol,251111
111,MarutiSuzukiErtiga,Maruti,2014,"5,69,999",45000,Petrol,569999
112,MarutiSuzukiEsteem,Maruti,2007,"69,999",51000,Petrol,69999
113,MarutiSuzukiRitz,Maruti,2014,"2,99,999",19000,Petrol,299999
114,MarutiSuzukiDzire,Maruti,2009,"2,20,000",46000,Petrol,220000
115,MarutiSuzukiRitz,Maruti,2013,"3,99,999",33000,Diesel,399999
116,MarutiSuzukiSwift,Maruti,2013,"3,72,000",13349,Petrol,372000
117,MarutiSuzukiDzire,Maruti,2015,"4,50,000",104000,Diesel,450000
118,ToyotaEtiosLiva,Toyota,2014,"2,70,000",55000,Petrol,270000
119,Hyundaii20Sportz,Hyundai,2011,"3,50,000",33333,Diesel,350000
120,ChevroletSpark,Chevrolet,2012,"1,58,400",33600,Petrol,158400
121,MarutiSuzukiAlto,Maruti,2017,"3,50,000",5600,Petrol,350000
122,NissanMicraXV,Nissan,2011,"1,79,000",41000,Petrol,179000
123,MarutiSuzukiSwift,Maruti,2007,"1,25,000",70000,Petrol,125000
124,MarutiSuzukiAlto,Maruti,2018,"2,00,000",7500,Petrol,200000
125,HondaAmaze1.5,Honda,2013,"2,99,000",45000,Diesel,299000
126,MarutiSuzukiAlto,Maruti,2015,"2,20,000",38000,Petrol,220000
127,ChevroletBeat,Chevrolet,2015,"1,50,000",30000,Petrol,150000
128,HondaCity1.5,Honda,2010,"2,85,000",35000,Petrol,285000
129,FordEcoSportTrend,Ford,2016,"8,30,000",24330,Diesel,830000
130,Hyundaii20Asta,Hyundai,2009,"2,10,000",65480,Petrol,210000
131,MarutiSuzukiSwift,Maruti,2013,"3,40,000",41000,Petrol,340000
132,TataIndicaV2,Tata,2006,"90,000",20000,Petrol,90000
133,HindustanMotorsAmbassador,Hindustan,2000,"70,000",200000,Diesel,70000
134,ToyotaCorollaAltis,Toyota,2010,"2,89,999",70000,Petrol,289999
135,ToyotaCorollaAltis,Toyota,2012,"3,49,999",59000,Petrol,349999
136,ToyotaInnova2.5,Toyota,2012,"8,49,999",99000,Diesel,849999
137,VolkswagenJettaHighline,Volkswagen,2014,"7,49,999",46000,Diesel,749999
138,VolkswagenPoloComfortline,Volkswagen,2015,"3,99,999",2800,Petrol,399999
139,VolkswagenPolo,Volkswagen,2014,"2,74,999",32000,Petrol,274999
140,MahindraScorpio,Mahindra,2015,"9,84,999",22000,Diesel,984999
141,RenaultDuster,Renault,2014,"4,49,999",50000,Diesel,449999
142,HondaAmaze,Honda,2015,"3,44,999",22000,Petrol,344999
143,NissanSunny,Nissan,2012,"2,24,999",45000,Petrol,224999
144,HyundaiElitei20,Hyundai,2018,"5,99,999",21000,Petrol,599999
145,RenaultKwid,Renault,2016,"2,44,999",11000,Petrol,244999
146,RenaultDuster,Renault,2013,"3,99,999",41000,Diesel,399999
147,FordEcoSport,Ford,2017,"4,89,999",39000,Petrol,489999
148,RenaultDuster,Renault,2014,"4,74,999",50000,Diesel,474999
149,MahindraScorpioVLX,Mahindra,2011,"4,99,999",66000,Diesel,499999
150,MarutiSuzukiAlto,Maruti,2018,"3,10,000",3000,Petrol,310000
151,ChevroletSparkLT,Chevrolet,2010,"85,000",45000,Petrol,85000
152,DatsunRediGO,Datsun,2016,"2,45,000",7000,Petrol,245000
153,MarutiSuzukiSwift,Maruti,2010,"1,89,500",38500,Diesel,189500
154,FiatPuntoEmotion,Fiat,2012,"1,69,500",37200,Diesel,169500
155,MarutiSuzukiSwift,Maruti,2010,"1,59,500",43200,Diesel,159500
156,ToyotaEtiosGD,Toyota,2013,"2,75,000",24800,Petrol,275000
157,Hyundaii20Sportz,Hyundai,2014,"3,70,000",60000,Diesel,370000
158,Hyundaii10Sportz,Hyundai,2010,"1,68,000",45872,Petrol,168000
159,ChevroletBeatLT,Chevrolet,2011,"1,50,000",40000,Diesel,150000
160,ChevroletBeatLS,Chevrolet,2011,"1,45,000",45000,Diesel,145000
161,ChevroletBeatLT,Chevrolet,2012,"98,500",38000,Diesel,98500
162,MahindraScorpioVLX,Mahindra,2014,"6,99,000",50000,Diesel,699000
163,TataIndigoCS,Tata,2011,"85,000",11400,Diesel,85000
164,ToyotaCorollaAltis,Toyota,2015,"5,75,000",42000,Petrol,575000
165,HondaCity1.5,Honda,2014,"5,49,000",39000,Petrol,549000
166,MarutiSuzukiSwift,Maruti,2011,"2,09,000",47000,Diesel,209000
167,HyundaiEonEra,Hyundai,2013,"1,85,000",27000,Petrol,185000
168,MahindraScorpioS10,Mahindra,2015,"9,00,000",97200,Diesel,900000
169,MahindraXUV500,Mahindra,2014,"6,99,999",52000,Diesel,699999
170,HondaBrio,Honda,2012,"2,24,999",30000,Petrol,224999
171,FordFiesta,Ford,2011,"2,74,999",55000,Diesel,274999
172,HondaAmaze,Honda,2013,"2,84,999",46000,Diesel,284999
173,HondaCity,Honda,2015,"5,99,999",30000,Diesel,599999
174,MarutiSuzukiWagon,Maruti,2012,"1,99,999",44000,Petrol,199999
175,HondaCity,Honda,2014,"5,44,999",45000,Diesel,544999
176,Hyundaii20,Hyundai,2009,"1,99,000",31000,Petrol,199000
177,TataIndigoeCS,Tata,2016,"3,20,000",175430,Diesel,320000
178,HyundaiFluidicVerna,Hyundai,2015,"5,40,000",38000,Diesel,540000
179,MahindraQuantoC8,Mahindra,2013,"3,40,000",37000,Diesel,340000
180,FiatPetraELX,Fiat,2008,"75,000",65000,Petrol,75000
181,SkodaFabia1.2L,Skoda,2011,"1,59,500",38200,Diesel,159500
182,MiniCooperS,Mini,2013,"18,91,111",13000,Petrol,1891111
183,HyundaiSantroXing,Hyundai,2005,"49,000",7500,Petrol,49000
184,MarutiSuzukiCiaz,Maruti,2016,"7,00,000",3350,Petrol,700000
185,MarutiSuzukiZen,Maruti,2000,"55,000",60000,Petrol,55000
186,HondaCity,Honda,2015,"4,48,999",54000,Petrol,448999
187,HyundaiCreta1.6,Hyundai,2017,"8,95,000",32000,Petrol,895000
188,MahindraScorpioSLX,Mahindra,2007,"3,55,000",75000,Diesel,355000
189,MahindraScorpioSLE,Mahindra,2012,"5,65,000",62000,Diesel,565000
190,ToyotaInnova2.5,Toyota,2006,"3,65,000",73000,Diesel,365000
191,MarutiSuzukiAlto,Maruti,2011,"1,45,000",41000,Petrol,145000
192,MarutiSuzukiWagon,Maruti,2011,"2,10,000",35000,Petrol,210000
193,TataNanoCx,Tata,2013,"40,000",2200,Petrol,40000
194,MarutiSuzukiAlto,Maruti,2013,"1,25,000",39000,Petrol,125000
195,MarutiSuzukiWagon,Maruti,2009,"1,35,000",45000,Petrol,135000
196,MarutiSuzukiSwift,Maruti,2006,"1,35,000",45000,Petrol,135000
197,TataSumoVicta,Tata,2012,"2,85,000",65000,Diesel,285000
198,MarutiSuzukiWagon,Maruti,2010,"1,45,000",54870,Petrol,145000
199,MarutiSuzukiAlto,Maruti,2010,"1,35,000",34580,Petrol,135000
200,VolkswagenPassatDiesel,Volkswagen,2009,"4,50,000",97000,Diesel,450000
201,RenaultScalaRxL,Renault,2015,"3,75,000",25000,Diesel,375000
202,MahindraQuantoC8,Mahindra,2013,"3,75,000",20000,Diesel,375000
203,HyundaiGrandi10,Hyundai,2014,"3,65,000",20000,Petrol,365000
204,Hyundaii20Active,Hyundai,2015,"5,00,000",18000,Petrol,500000
205,MahindraXyloE4,Mahindra,2012,"4,00,000",35000,Diesel,400000
206,MahindraJeepMM,Mahindra,2019,"3,90,000",60,Diesel,390000
207,RenaultDuster110PS,Renault,2012,"5,01,000",35000,Diesel,501000
208,MahindraBoleroSLE,Mahindra,2013,"3,30,000",80200,Diesel,330000
209,ForceMotorsForce,Force,2015,"5,80,000",3200,Diesel,580000
210,MarutiSuzukiSX4,Maruti,2012,"2,65,000",46000,Diesel,265000
211,MahindraJeepCL550,Mahindra,2019,"3,79,000",0,Diesel,379000
212,MarutiSuzukiAlto,Maruti,2015,"2,19,000",5000,Petrol,219000
213,MahindraJeepCL550,Mahindra,2018,"3,85,000",588,Diesel,385000
214,ToyotaEtios,Toyota,2011,"2,75,000",36000,Diesel,275000
215,VolkswagenPolo,Volkswagen,2015,"3,30,000",38000,Diesel,330000
216,HondaCityZX,Honda,2008,"1,10,000",45000,Petrol,110000
217,MarutiSuzukiWagon,Maruti,2006,"80,000",71200,Petrol,80000
218,HondaCityVX,Honda,2016,"5,19,000",52000,Diesel,519000
219,MahindraTharCRDe,Mahindra,2016,"7,30,000",29000,Diesel,730000
220,MitsubishiPajeroSport,Mitsubishi,2015,"14,75,000",47000,Diesel,1475000
221,AudiA41.8,Audi,2009,"6,99,000",47000,Petrol,699000
222,MercedesBenzGLA,Mercedes,2015,"20,00,000",20000,Diesel,2000000
223,LandRoverFreelander,Land,2015,"21,00,000",30000,Diesel,2100000
224,RenaultKwidRXT,Renault,2017,"3,40,000",5000,Petrol,340000
225,TataAriaPleasure,Tata,2014,"3,90,000",35000,Diesel,390000
226,MercedesBenzB,Mercedes,2014,"14,00,000",31000,Petrol,1400000
227,DatsunGOT,Datsun,2016,"2,45,000",7000,Petrol,245000
228,TataIndigoeCS,Tata,2016,"3,20,000",175430,Diesel,320000
229,TataIndigoeCS,Tata,2016,"3,20,000",175400,Diesel,320000
230,HondaJazzVX,Honda,2016,"4,50,000",41000,Petrol,450000
231,HondaAmaze1.2,Honda,2014,"3,11,000",33000,Petrol,311000
232,HondaAmaze,Honda,2013,"2,84,999",46000,Diesel,284999
233,HondaCity,Honda,2012,"3,99,999",45000,Petrol,399999
234,HondaCity,Honda,2015,"5,99,999",39000,Diesel,599999
235,HondaAmaze,Honda,2015,"3,44,999",22000,Petrol,344999
236,AudiA41.8,Audi,2009,"6,99,000",47000,Petrol,699000
237,ForceMotorsForce,Force,2015,"5,80,000",3200,Diesel,580000
238,MahindraScorpioS4,Mahindra,2015,"8,55,000",30000,Diesel,855000
239,Hyundaii20Active,Hyundai,2015,"5,35,000",37000,Diesel,535000
240,MiniCooperS,Mini,2013,"18,91,111",13000,Petrol,1891111
241,MarutiSuzukiCiaz,Maruti,2017,"6,99,000",14000,Petrol,699000
242,ChevroletTaveraNeo,Chevrolet,2013,"3,75,000",55000,Diesel,375000
243,HondaAmaze,Honda,2013,"2,84,999",46000,Diesel,284999
244,HyundaiEonSportz,Hyundai,2012,"1,78,000",30000,Petrol,178000
245,TataSumoGold,Tata,2013,"3,00,000",50000,Diesel,300000
246,MarutiSuzukiWagon,Maruti,2003,"90,000",45000,Petrol,90000
247,MarutiSuzukiEsteem,Maruti,2006,"95,000",45000,Petrol,95000
248,MarutiSuzukiEeco,Maruti,2015,"2,55,000",9300,Petrol,255000
249,ChevroletEnjoy1.4,Chevrolet,2013,"2,45,000",55000,Diesel,245000
250,Hyundaii20Asta,Hyundai,2012,"3,29,500",36200,Diesel,329500
251,FordFigoDiesel,Ford,2014,"1,95,000",50000,Diesel,195000
252,MarutiSuzukiEeco,Maruti,2015,"2,51,111",55000,Petrol,251111
253,MarutiSuzukiErtiga,Maruti,2014,"5,69,999",45000,Petrol,569999
254,MarutiSuzukiEsteem,Maruti,2007,"69,999",51000,Petrol,69999
255,MarutiSuzukiRitz,Maruti,2014,"2,99,999",19000,Petrol,299999
256,MarutiSuzukiDzire,Maruti,2009,"2,20,000",46000,Petrol,220000
257,MarutiSuzukiRitz,Maruti,2013,"3,99,999",33000,Diesel,399999
258,MarutiSuzukiSX4,Maruti,2010,"2,49,999",36000,Petrol,249999
259,MarutiSuzukiWagon,Maruti,2015,"2,89,999",22000,Petrol,289999
260,MiniCooperS,Mini,2013,"18,91,111",13500,Petrol,1891111
261,NissanTerranoXL,Nissan,2015,"4,99,999",60000,Diesel,499999
262,RenaultDuster85,Renault,2013,"4,89,999",27000,Diesel,489999
263,RenaultDuster85,Renault,2014,"4,89,999",59000,Diesel,489999
264,RenaultDuster85,Renault,2015,"5,49,999",19000,Diesel,549999
265,MarutiSuzukiDzire,Maruti,2013,"3,80,000",30000,Petrol,380000
266,RenaultKwidRXT,Renault,2018,"3,25,000",15000,Petrol,325000
267,MarutiSuzukiMaruti,Maruti,2003,"57,000",56758,Petrol,57000
268,RenaultKwid1.0,Renault,2018,"3,49,999",10000,Petrol,349999
269,RenaultLodgy85,Renault,2018,"6,89,999",20000,Diesel,689999
270,RenaultScalaRxL,Renault,2014,"3,49,999",49000,Diesel,349999
271,HyundaiGrandi10,Hyundai,2014,"4,10,000",41000,Petrol,410000
